targetId,comparatorId,outcomeId,outcomeName,type
106,401,438945,Accidental poisoning by benzodiazepine-based tranquilizer,outcome
106,401,434455,Acquired claw toes,outcome
106,401,316211,Acquired spondylolisthesis,outcome
106,401,201612,Alcoholic liver damage,outcome
106,401,438730,Alkalosis,outcome
106,401,441258,Anemia in neoplastic disease,outcome
106,401,432513,Animal bite wound,outcome
106,401,4171556,Ankle ulcer,outcome
106,401,4098292,Antiphospholipid syndrome,outcome
106,401,77650,Aseptic necrosis of bone,outcome
106,401,4239873,Benign neoplasm of ciliary body,outcome
106,401,23731,Benign neoplasm of larynx,outcome
106,401,199764,Benign neoplasm of ovary,outcome
106,401,195500,Benign neoplasm of uterus,outcome
106,401,4145627,Biliary calculus,outcome
106,401,4108471,Burn of digit of hand,outcome
106,401,75121,Burn of lower leg,outcome
106,401,4284982,Calculus of bile duct without obstruction,outcome
106,401,434327,Cannabis abuse,outcome
106,401,78497,Cellulitis and abscess of toe,outcome
106,401,4001454,Cervical spine ankylosis,outcome
106,401,4068241,Chronic instability of knee,outcome
106,401,195596,Chronic pancreatitis,outcome
106,401,4206338,Chronic salpingitis,outcome
106,401,4058397,Claustrophobia,outcome
106,401,74816,Contusion of toe,outcome
106,401,73302,Curvature of spine,outcome
106,401,4151134,Cyst of pancreas,outcome
106,401,77638,Displacement of intervertebral disc without myelopathy,outcome
106,401,195864,Diverticulum of bladder,outcome
106,401,201346,Edema of penis,outcome
106,401,200461,Endometriosis of uterus,outcome
106,401,377877,Esotropia,outcome
106,401,193530,Follicular cyst of ovary,outcome
106,401,4094822,Foreign body in respiratory tract,outcome
106,401,443421,Gallbladder and bile duct calculi,outcome
106,401,4299408,Gouty tophus,outcome
106,401,135215,Hashimoto thyroiditis,outcome
106,401,442190,Hemorrhage of colon,outcome
106,401,43020475,High risk heterosexual behavior,outcome
106,401,194149,Hirschsprung?s disease,outcome
106,401,443204,Human ehrlichiosis,outcome
106,401,4226238,Hyperosmolar coma due to diabetes mellitus,outcome
